,FIPS,State,County,POPUNI,Total_Population,Zero_RF,One-Two_RF,Three_RF,Housing_Units,Hispanic_Pop,White_Pop,Black_Pop,Native_Pop,Asian_Pop,Pacific_Islander_Pop,Other_race_Pop,Bi_Tri_Racial_Pop,Male_Pop,Female_Pop,Veteran,Gini_Ind_Income,Rural_Pop,Median_Age_Pop,Age_65+_Pop,Disability_Pop,Below_Poverty_Level,Single_Mothers_Pop,Single_Fathers_Pop,1.51_plus_family_homes,HighSchool_Grad,Multilingual_5yrs_Plus,Full_time_workers,No_Health_Insur,Internet_homes,No_Vehicle,Homeowner_Vacancy,Rental_Vacancy
0,1001, Alabama,Autauga County,55688,55380,20573,22750,12365,23493,1559.0,41543.0,10580.0,167.0,556.0,0.0,111.0,1169.0,27064.0,28623.0,7016.0,252.0,23388.0,21272.0,8353.0,10580.0,8464.0,3007.0,723.0,111.0,49283.0,779.0,29291.0,3953.0,44884.0,2450.0,779.0,1726.0
1,1003, Alabama,Baldwin County,221898,212830,78622,90552,52724,114164,10207.0,184397.0,20414.0,1553.0,1997.0,0.0,443.0,3328.0,107842.0,114055.0,26183.0,1017.0,93818.0,95416.0,44379.0,31509.0,23077.0,8654.0,2218.0,887.0,201483.0,3994.0,112058.0,19748.0,181512.0,7322.0,7322.0,96747.0
2,1005, Alabama,Barbour County,22023,25361,5024,9171,7828,12013,969.0,10086.0,10438.0,66.0,110.0,0.0,88.0,264.0,11650.0,10372.0,1453.0,107.0,14929.0,8897.0,4096.0,4712.0,6761.0,2070.0,220.0,132.0,16120.0,572.0,8170.0,2488.0,13323.0,2246.0,836.0,1629.0
3,1007, Alabama,Bibb County,20393,22493,6280,8986,5127,9185,530.0,15192.0,4506.0,20.0,20.0,0.0,0.0,101.0,11012.0,9380.0,1631.0,91.0,13938.0,8340.0,3242.0,3507.0,3691.0,897.0,346.0,163.0,16130.0,265.0,8096.0,2182.0,14111.0,1264.0,305.0,1142.0
4,1009, Alabama,Blount County,57697,57681,18189,23950,15558,24323,5365.0,50138.0,865.0,57.0,230.0,0.0,230.0,865.0,28502.0,29194.0,4442.0,263.0,51898.0,23482.0,10327.0,8135.0,7846.0,2250.0,1038.0,115.0,46446.0,1961.0,27463.0,6231.0,42118.0,2365.0,403.0,4846.0
5,1011, Alabama,Bullock County,8600,10248,2074,3534,2992,4557,223.0,1840.0,6432.0,0.0,43.0,0.0,0.0,68.0,4678.0,3921.0,283.0,40.0,4417.0,3457.0,1376.0,1032.0,2485.0,997.0,731.0,0.0,6424.0,86.0,4274.0,980.0,5168.0,920.0,17.0,60.0
6,1013, Alabama,Butler County,19410,19828,5431,7643,6336,10089,271.0,10015.0,8734.0,19.0,58.0,0.0,0.0,310.0,8889.0,10520.0,1281.0,89.0,13825.0,7919.0,3823.0,3202.0,4367.0,1339.0,116.0,116.0,16498.0,77.0,9200.0,1688.0,12538.0,1455.0,718.0,4503.0
7,1015, Alabama,Calhoun County,111694,114618,35169,44189,32336,53631,4244.0,80531.0,23120.0,223.0,1005.0,0.0,223.0,2457.0,53724.0,57969.0,12062.0,517.0,37640.0,44230.0,19211.0,23679.0,19993.0,7260.0,781.0,446.0,94269.0,1675.0,51267.0,10610.0,83882.0,6701.0,2345.0,6254.0
8,1017, Alabama,Chambers County,33117,33660,9457,12798,10862,16988,794.0,18379.0,13114.0,99.0,364.0,0.0,33.0,331.0,15829.0,17287.0,2616.0,140.0,16277.0,13909.0,6358.0,5994.0,5729.0,1755.0,397.0,1192.0,27023.0,430.0,16889.0,3411.0,22983.0,2417.0,894.0,3079.0
9,1019, Alabama,Cherokee County,26116,25903,7374,11044,7698,16579,417.0,23948.0,1201.0,287.0,52.0,0.0,0.0,208.0,12875.0,13240.0,2376.0,117.0,22391.0,12143.0,5849.0,4648.0,3630.0,652.0,235.0,130.0,21310.0,182.0,12718.0,2245.0,18464.0,1175.0,861.0,3577.0
10,1021, Alabama,Chilton County,44257,44055,12461,20344,11452,19781,3452.0,35449.0,4071.0,44.0,177.0,0.0,44.0,973.0,21553.0,22703.0,3363.0,208.0,38388.0,17127.0,7081.0,8585.0,8453.0,2876.0,442.0,309.0,36202.0,1416.0,19959.0,5753.0,30404.0,2212.0,1283.0,3097.0
11,1023, Alabama,Choctaw County,12553,12925,2830,5421,4302,7359,50.0,7079.0,5347.0,12.0,12.0,0.0,12.0,50.0,5962.0,6590.0,1079.0,58.0,12553.0,5812.0,2836.0,3351.0,2924.0,815.0,50.0,25.0,10218.0,50.0,4632.0,1292.0,7694.0,1154.0,75.0,188.0
12,1025, Alabama,Clarke County,23522,24128,5797,10278,7447,12784,70.0,12396.0,10773.0,23.0,94.0,0.0,0.0,141.0,11125.0,12396.0,1458.0,121.0,17872.0,9996.0,4563.0,4281.0,5457.0,1129.0,493.0,23.0,18958.0,141.0,9150.0,2281.0,13525.0,1905.0,329.0,1058.0
13,1027, Alabama,Clay County,13159,13337,3217,5728,4214,6799,407.0,10579.0,2039.0,0.0,26.0,0.0,13.0,92.0,6355.0,6803.0,789.0,60.0,13159.0,5697.0,2658.0,2289.0,2355.0,1131.0,223.0,118.0,10092.0,13.0,6039.0,1355.0,9224.0,631.0,263.0,644.0
14,1029, Alabama,Cleburne County,14819,14916,5228,6006,3585,6844,370.0,13737.0,400.0,14.0,0.0,0.0,14.0,281.0,7261.0,7557.0,903.0,67.0,14819.0,6386.0,2874.0,3245.0,2563.0,400.0,44.0,14.0,11707.0,177.0,6713.0,1822.0,9528.0,740.0,148.0,903.0
15,1031, Alabama,Coffee County,52203,51662,17942,21267,12994,23188,3810.0,36594.0,8770.0,626.0,730.0,0.0,52.0,1618.0,25736.0,26466.0,8561.0,225.0,24639.0,20515.0,8613.0,9292.0,7882.0,4019.0,887.0,104.0,44842.0,1200.0,26153.0,5115.0,41762.0,3079.0,1096.0,3497.0
16,1033, Alabama,Colbert County,55083,54771,18099,22141,14843,26588,1542.0,43074.0,8868.0,330.0,275.0,55.0,55.0,936.0,26439.0,28643.0,4902.0,246.0,24175.0,23355.0,10686.0,10190.0,8537.0,2974.0,550.0,0.0,46930.0,550.0,26660.0,3965.0,38613.0,3029.0,771.0,5783.0
17,1035, Alabama,Conecuh County,12022,12394,3630,4119,4273,7182,84.0,6011.0,5746.0,24.0,60.0,0.0,0.0,96.0,5890.0,6131.0,709.0,51.0,9731.0,5385.0,2668.0,2692.0,2115.0,1045.0,72.0,48.0,10134.0,0.0,5025.0,1526.0,6335.0,817.0,240.0,2464.0
18,1037, Alabama,Coosa County,10511,10757,2829,4131,3551,6585,105.0,6811.0,3531.0,10.0,0.0,0.0,52.0,0.0,5339.0,5171.0,1093.0,47.0,10511.0,5087.0,2375.0,2407.0,1418.0,378.0,0.0,126.0,8408.0,52.0,4750.0,840.0,7305.0,420.0,388.0,367.0
19,1039, Alabama,Covington County,36877,37200,10089,15065,11723,18976,626.0,30718.0,4941.0,36.0,147.0,36.0,0.0,405.0,17811.0,19065.0,3687.0,169.0,25684.0,15967.0,7670.0,7781.0,6859.0,2397.0,221.0,147.0,30755.0,110.0,17700.0,4093.0,26072.0,1991.0,848.0,2433.0
20,1041, Alabama,Crenshaw County,13772,13844,3542,5703,4527,6815,110.0,9778.0,3181.0,96.0,179.0,13.0,0.0,426.0,6706.0,7065.0,908.0,67.0,13772.0,5742.0,2589.0,2823.0,2093.0,826.0,151.0,27.0,10907.0,165.0,6169.0,1198.0,8965.0,936.0,179.0,1446.0
21,1043, Alabama,Cullman County,83277,82853,25997,36832,20448,37842,3664.0,76531.0,999.0,249.0,333.0,0.0,83.0,1498.0,40972.0,42304.0,6662.0,367.0,60992.0,33977.0,15156.0,14740.0,12408.0,3747.0,1249.0,582.0,67954.0,1332.0,39639.0,9243.0,61708.0,3164.0,1665.0,5662.0
22,1045, Alabama,Dale County,49090,49277,14114,21082,13894,23103,3190.0,33675.0,9719.0,294.0,589.0,0.0,147.0,1472.0,24201.0,24888.0,8050.0,219.0,24981.0,18310.0,8050.0,10407.0,8639.0,2896.0,539.0,245.0,42266.0,1079.0,23514.0,5694.0,37799.0,2405.0,736.0,4712.0
23,1047, Alabama,Dallas County,36952,39149,9377,14920,12655,20419,406.0,10087.0,26014.0,36.0,221.0,0.0,0.0,184.0,17034.0,19917.0,2254.0,173.0,16864.0,14632.0,6429.0,6503.0,10753.0,4027.0,332.0,258.0,30226.0,110.0,15778.0,4101.0,25755.0,5173.0,997.0,2364.0
