,FIPS,Cases,Deaths,Lat,Long,County
0,1001,19732,230,32.53952745,-86.64408227,Autauga
1,1003,69641,724,30.72774991,-87.72207058,Baldwin
2,1005,7451,103,31.868263,-85.3871286,Barbour
3,1007,8067,109,32.99642064,-87.12511459999996,Bibb
4,1009,18616,261,33.98210918,-86.56790593,Blount
5,1011,3020,54,32.10030533,-85.71265535,Bullock
6,1013,6518,132,31.75300095,-86.68057478,Butler
7,1015,41228,675,33.77483727,-85.82630386,Calhoun
8,1017,10812,170,32.91360079,-85.39072749,Chambers
9,1019,6732,89,34.17805983,-85.60638968,Cherokee
10,1021,12956,217,32.85044126,-86.7173256,Chilton
11,1023,2255,39,32.02227341,-88.26564429999998,Choctaw
12,1025,8529,107,31.68099859,-87.83548597,Clarke
13,1027,5134,92,33.26984193,-85.85836077,Clay
14,1029,4393,71,33.67679204,-85.52005899,Cleburne
15,1031,17094,245,31.39932826,-85.98901039,Coffee
16,1033,21197,276,34.69847452,-87.80168544,Colbert
17,1035,3589,76,31.43401703,-86.99320044,Conecuh
18,1037,3755,64,32.93690146,-86.24847739,Coosa
19,1039,11765,258,31.2477854,-86.45050893,Covington
20,1041,4730,110,31.72941803,-86.31593104,Crenshaw
21,1043,31438,395,34.13020303,-86.86888037,Cullman
22,1045,16436,245,31.43037123,-85.61095742,Dale
23,1047,10935,258,32.32688101,-87.10866709999998,Dallas
24,1049,22466,345,34.45946862,-85.80782906,DeKalb
25,1051,29745,361,32.59785413,-86.14415284,Elmore
26,1053,12347,179,31.1256789,-87.15918694,Escambia
27,1055,34137,690,34.04567266,-86.04051873,Etowah
28,1057,5871,99,33.72076938,-87.73886638,Fayette
29,1059,11996,152,34.44235334,-87.84289505,Franklin
30,1061,7907,171,31.09389027,-85.83572839,Geneva
31,1063,2292,54,32.85504247,-87.95684022,Greene
32,1065,5705,110,32.76039258,-87.63284988,Hale
33,1067,5837,79,31.51148016,-85.24267944,Henry
34,1069,32514,529,31.15197924,-85.29939599,Houston
35,1071,18311,254,34.78144169,-85.99750489,Jackson
36,1073,237792,2526,33.55554728,-86.89506300000002,Jefferson
37,1075,4716,73,33.77995024,-88.09668032,Lamar
38,1077,30323,420,34.90171875,-87.65624729,Lauderdale
39,1079,9368,181,34.52041498,-87.31069453,Lawrence
40,1081,47500,369,32.60154883,-85.35132246,Lee
41,1083,32058,316,34.81185586,-86.98310072,Limestone
42,1085,3358,80,32.1597283,-86.65158371,Lowndes
43,1087,5267,90,32.38759944,-85.69267724,Macon
44,1089,115627,1058,34.76327133,-86.55069633,Madison
45,1091,6078,116,32.24767634,-87.78796182,Marengo
46,1093,10094,159,34.13697363,-87.88704173,Marion
47,1095,32869,408,34.36975964,-86.30486727,Marshall
48,1097,134503,1781,30.78472347,-88.20842409,Mobile
49,1099,6720,87,31.56729412,-87.36995001,Monroe
50,1101,73524,1006,32.2206831,-86.20969272,Montgomery
51,1103,46347,550,34.45500589,-86.85475946,Morgan
52,1105,2659,49,32.64048341,-87.29770589,Perry
53,1107,6317,122,33.28094866,-88.08818103,Pickens
54,1109,9241,142,31.80396383,-85.9408295,Pike
55,1111,6500,79,33.29526734,-85.45708831,Randolph
56,1113,12995,100,32.28725256,-85.18415324,Russell
57,1115,33164,439,33.71902176,-86.31029372,St. Clair
58,1117,77846,480,33.26879845,-86.66232561,Shelby
59,1119,3164,55,32.59117397,-88.19916205,Sumter
60,1121,28482,394,33.37823223,-86.16886178,Talladega
61,1123,14566,252,32.86698258,-85.79833053,Tallapoosa
62,1125,70636,850,33.28726072,-87.52556818,Tuscaloosa
63,1127,24045,478,33.80270512,-87.30027177,Walker
64,1129,4388,61,31.4092794,-88.20689944,Washington
65,1131,3645,48,31.98773215,-87.30891118,Wilcox
66,1133,9405,140,34.15030532,-87.37325922,Winston
67,2013,1331,5,55.32222414,-161.9722021,Aleutians East
68,2016,2000,3,52.3233,-174.1596,Aleutians West
69,2020,124062,612,61.14998174,-149.14269860000005,Anchorage
70,2050,12883,47,60.90980451,-159.8561831,Bethel
71,2060,0,0,58.74513976,-156.701064,Bristol Bay
72,2063,2403,13,61.16666,-149.9,Chugach
73,2066,1315,11,60.3886,-162.8905196,Copper River
74,2068,1802,2,63.67264044,-150.0076108,Denali
75,2070,2265,13,59.79603738,-158.23819419999995,Dillingham
76,2090,33565,172,64.80726247,-146.5692662,Fairbanks North Star
77,2100,806,1,59.09893571,-135.4679843,Haines
