fips,cases,deaths,lat,long,state,county,total_population
1001,19732,126307,32.53952745,-86.64408227, Alabama,Autauga County,55380
1003,69641,401530,30.72774991,-87.72207058, Alabama,Baldwin County,212830
1005,7451,60678,31.868263,-85.3871286, Alabama,Barbour County,25361
1007,8067,66517,32.99642064,-87.1251146, Alabama,Bibb County,22493
1009,18616,146177,33.98210918,-86.56790593, Alabama,Blount County,57681
1011,3020,37221,32.10030533,-85.71265535, Alabama,Bullock County,10248
1013,6518,82395,31.75300095,-86.68057478, Alabama,Butler County,19828
1015,41228,372868,33.77483727,-85.82630386, Alabama,Calhoun County,114618
1017,10812,114178,32.91360079,-85.39072749, Alabama,Chambers County,33660
1019,6732,51229,34.17805983,-85.60638968, Alabama,Cherokee County,25903
1021,12956,125173,32.85044126,-86.7173256, Alabama,Chilton County,44055
1023,2255,25625,32.02227341,-88.2656443, Alabama,Choctaw County,12925
1025,8529,63744,31.68099859,-87.83548597, Alabama,Clarke County,24128
1027,5134,54527,33.26984193,-85.85836077, Alabama,Clay County,13337
1029,4393,43219,33.67679204,-85.52005899, Alabama,Cleburne County,14916
1031,17094,136984,31.39932826,-85.98901039, Alabama,Coffee County,51662
1033,21197,155445,34.69847452,-87.80168544, Alabama,Colbert County,54771
1035,3589,41483,31.43401703,-86.99320044, Alabama,Conecuh County,12394
1037,3755,33389,32.93690146,-86.24847739, Alabama,Coosa County,10757
1039,11765,141132,31.2477854,-86.45050893, Alabama,Covington County,37200
1041,4730,63378,31.72941803,-86.31593104, Alabama,Crenshaw County,13844
1043,31438,219365,34.13020303,-86.86888037, Alabama,Cullman County,82853
1045,16436,141417,31.43037123,-85.61095742, Alabama,Dale County,49277
1047,10935,154379,32.32688101,-87.1086671, Alabama,Dallas County,39149
1049,22466,199332,34.45946862,-85.80782906, Alabama,DeKalb County,71310
1051,29745,217944,32.59785413,-86.14415284, Alabama,Elmore County,81144
1053,12347,100933,31.1256789,-87.15918694, Alabama,Escambia County,37057
1055,34137,386488,34.04567266,-86.04051873, Alabama,Etowah County,102748
1057,5871,60446,33.72076938,-87.73886638, Alabama,Fayette County,16494
1059,11996,88028,34.44235334,-87.84289505, Alabama,Franklin County,31466
1061,7907,94027,31.09389027,-85.83572839, Alabama,Geneva County,26417
1063,2292,34790,32.85504247,-87.95684022, Alabama,Greene County,8324
1065,5705,72388,32.76039258,-87.63284988, Alabama,Hale County,14809
1067,5837,46292,31.51148016,-85.24267944, Alabama,Henry County,17133
1069,32514,303793,31.15197924,-85.29939599, Alabama,Houston County,104702
1071,18311,137591,34.78144169,-85.99750489, Alabama,Jackson County,51852
1073,237792,1525521,33.55554728,-86.895063, Alabama,Jefferson County,659680
1075,4716,39177,33.77995024,-88.09668032, Alabama,Lamar County,13885
1077,30323,240313,34.90171875,-87.65624729, Alabama,Lauderdale County,92556
1079,9368,99982,34.52041498,-87.31069453, Alabama,Lawrence County,33058
1081,47500,205914,32.60154883,-85.35132246, Alabama,Lee County,161152
1083,32058,171305,34.81185586,-86.98310072, Alabama,Limestone County,94727
1085,3358,53929,32.1597283,-86.65158371, Alabama,Lowndes County,10079
1087,5267,53685,32.38759944,-85.69267724, Alabama,Macon County,18708
1089,115627,567970,34.76327133,-86.55069633, Alabama,Madison County,362276
1091,6078,68784,32.24767634,-87.78796182, Alabama,Marengo County,19321
1093,10094,100280,34.13697363,-87.88704173, Alabama,Marion County,29866
1095,32869,239612,34.36975964,-86.30486727, Alabama,Marshall County,95643
1097,134503,1023017,30.78472347,-88.20842409, Alabama,Mobile County,414114
1099,6720,47435,31.56729412,-87.36995001, Alabama,Monroe County,21270
1101,73524,608689,32.2206831,-86.20969272, Alabama,Montgomery County,226941
1103,46347,303465,34.45500589,-86.85475946, Alabama,Morgan County,119213
1105,2659,28957,32.64048341,-87.29770589, Alabama,Perry County,9293
1107,6317,65229,33.28094866,-88.08818103, Alabama,Pickens County,20243
1109,9241,81038,31.80396383,-85.9408295, Alabama,Pike County,33333
1111,6500,48834,33.29526734,-85.45708831, Alabama,Randolph County,22647
1113,12995,50135,32.28725256,-85.18415324, Alabama,Russell County,57952
1115,33164,255680,33.71902176,-86.31029372, Alabama,St. Clair County,87989
1117,77846,275328,33.26879845,-86.66232561, Alabama,Shelby County,213432
1119,3164,35252,32.59117397,-88.19916205, Alabama,Sumter County,12797
1121,28482,217277,33.37823223,-86.16886178, Alabama,Talladega County,80387
1123,14566,165351,32.86698258,-85.79833053, Alabama,Tallapoosa County,40541
1125,70636,488253,33.28726072,-87.52556818, Alabama,Tuscaloosa County,207305
1127,24045,287911,33.80270512,-87.30027177, Alabama,Walker County,64110
1129,4388,39364,31.4092794,-88.20689944, Alabama,Washington County,16541
1131,3645,30855,31.98773215,-87.30891118, Alabama,Wilcox County,10681
1133,9405,79562,34.15030532,-87.37325922, Alabama,Winston County,23784
2013,1331,2116,55.32222414,-161.9722021, Alaska,Aleutians East Borough,3385
2016,2000,1196,52.3233,-174.1596, Alaska,Aleutians West Census Area,5698
2020,124062,291398,61.14998174,-149.1426986, Alaska,Anchorage Municipality,293531
2050,12883,23858,60.90980451,-159.8561831, Alaska,Bethel Census Area,18134
2060,0,0,58.74513976,-156.701064, Alaska,Bristol Bay Borough,875
2068,1802,585,63.67264044,-150.0076108, Alaska,Denali Borough,2246
2070,2265,5558,59.79603738,-158.2381942, Alaska,Dillingham Census Area,4961
2090,33565,75068,64.80726247,-146.5692662, Alaska,Fairbanks North Star Borough,99072
2100,806,436,59.09893571,-135.4679843, Alaska,Haines Borough,2518
2105,0,0,58.29307365,-135.6424424, Alaska,Hoonah-Angoon Census Area,2139
2110,11938,11376,58.45031811,-134.200436, Alaska,Juneau City and Borough,32227
2122,22616,53685,60.24429722,-151.5388884, Alaska,Kenai Peninsula Borough,58464
2130,5139,10265,55.57445008,-130.975561, Alaska,Ketchikan Gateway Borough,13800
2150,5870,6596,57.65529415,-153.7493579, Alaska,Kodiak Island Borough,13451
2158,4912,6671,62.1542916,-163.3967883, Alaska,Kusilvak Census Area,8250
2164,1240,409,58.62403337,-156.2140589, Alaska,Lake and Peninsula Borough,1393
2170,40705,116704,62.31305045,-149.5741743, Alaska,Matanuska-Susitna Borough,105369
2180,7597,2080,64.90320724,-164.0353804, Alaska,Nome Census Area,9988
2185,5508,6609,69.31479216,-153.4836093, Alaska,North Slope Borough,9792
2188,5752,7163,67.04919196,-159.7503946, Alaska,Northwest Arctic Borough,7715
2195,926,2868,57.13978948,-132.9540995, Alaska,Petersburg Borough,3257
2198,1841,4366,55.76261984,-133.0511621, Alaska,Prince of Wales-Hyder Census Area,6407
2220,3508,3436,57.24124555,-135.3206587, Alaska,Sitka City and Borough,8640
2230,675,7,59.56149996,-135.3337748, Alaska,Skagway Municipality,1107
2240,2468,9539,63.87692095,-143.2127643, Alaska,Southeast Fairbanks Census Area,6878
2261,0,0,61.47502768,-144.7126799, Alaska,Valdez-Cordova Census Area,9243
2275,796,407,56.3202004,-132.0583731, Alaska,Wrangell City and Borough,2502
2282,975,2526,59.8909808,-140.3601451, Alaska,Yakutat City and Borough,649
2290,1742,5844,65.50815459,-151.3907387, Alaska,Yukon-Koyukuk Census Area,5377
4001,35848,415600,35.39465006,-109.4892383, Arizona,Apache County,71511
4003,38971,334590,31.87934684,-109.7516088, Arizona,Cochise County,125867
4005,52627,330824,35.83883429,-111.7707178, Arizona,Coconino County,141274
4007,21354,238016,33.80190085,-110.8132779, Arizona,Gila County,53546
4009,14078,103777,32.93166885,-109.8882178, Arizona,Graham County,37996
4011,2711,17915,33.21498827,-109.2405279, Arizona,Greenlee County,9522
4012,5937,85336,33.72854224,-113.9810029, Arizona,La Paz County,20793
4013,1526029,10718968,33.34835867,-112.4918154, Arizona,Maricopa County,4328810
4015,67042,873773,35.70471703,-113.7577902, Arizona,Mohave County,207695
4017,48052,583952,35.3997715,-110.3218983, Arizona,Navajo County,109270
4019,315154,2432638,32.0971334,-111.7890033, Arizona,Pima County,1027207
4021,156407,983922,32.90525627,-111.3449483, Arizona,Pinal County,432793
4023,19585,162035,31.52508998,-110.8479088, Arizona,Santa Cruz County,46480
4025,59992,674197,34.59933926,-112.5538588, Arizona,Yavapai County,228067
4027,70844,801667,32.76895712,-113.9066674, Arizona,Yuma County,209468
5001,7001,48184,34.29145151,-91.37277296, Arkansas,Arkansas County,17914
5003,6221,41406,33.19153461,-91.7698471, Arkansas,Ashley County,20270
5005,10684,143235,36.28784385,-92.33782872, Arkansas,Baxter County,41427
5007,77170,510251,36.33644656,-94.25680817, Arkansas,Benton County,265759
5009,11238,105038,36.3084504,-93.09374925, Arkansas,Boone County,37331
5011,3591,32578,33.46755808,-92.15980837, Arkansas,Bradley County,10874
5013,1191,5862,33.55598792,-92.49974403, Arkansas,Calhoun County,5192
5015,7260,61557,36.3403856,-93.54270261, Arkansas,Carroll County,27965
5017,3124,40106,33.26458973,-91.29539209, Arkansas,Chicot County,10615
5019,6397,47626,34.04613432,-93.17484713, Arkansas,Clark County,22386
5021,5125,56663,36.36826212,-90.4148172, Arkansas,Clay County,14889
5023,8021,78640,35.53864922,-92.02640019, Arkansas,Cleburne County,25100
5025,2667,25336,33.89723187,-92.18537045, Arkansas,Cleveland County,8128
5027,6756,60665,33.21230701,-93.22642793, Arkansas,Columbia County,23776
5029,6570,38360,35.26205537,-92.70506566, Arkansas,Conway County,20858
5031,47116,204521,35.83018283,-90.63235729, Arkansas,Craighead County,107345
5033,18614,145867,35.58928601,-94.2446814, Arkansas,Crawford County,62739
5035,16665,134199,35.21247318,-90.30839406, Arkansas,Crittenden County,48672
5037,5732,54448,35.29631396,-90.77185818, Arkansas,Cross County,16824
5039,2069,18458,33.97042763,-92.65167437, Arkansas,Dallas County,7279
5041,3642,25240,33.83011025,-91.25500948, Arkansas,Desha County,11709
5043,5617,43838,33.59035001,-91.71777921, Arkansas,Drew County,18417
5045,42851,188445,35.14719007,-92.33717519, Arkansas,Faulkner County,123624
5047,4475,43636,35.51202821,-93.89299569, Arkansas,Franklin County,17738
5049,3100,54159,36.38177105,-91.81729127, Arkansas,Fulton County,12231
5051,26982,308456,34.57692074,-93.14921604, Arkansas,Garland County,98555
5053,5231,37050,34.29017991,-92.42320562, Arkansas,Grant County,18126
5055,19688,100385,36.1173546,-90.55832668, Arkansas,Greene County,44937
5057,5622,35151,33.73325583,-93.66935133, Arkansas,Hempstead County,21842
5059,13027,87190,34.31709259,-92.95396325, Arkansas,Hot Spring County,33597
5061,4649,30974,34.09007427,-93.9934871, Arkansas,Howard County,13311
5063,12748,133284,35.74242707,-91.57001641, Arkansas,Independence County,37427
5065,4701,43218,36.09604046,-91.90847954, Arkansas,Izard County,13570
5067,7252,38710,35.59802983,-91.21494602, Arkansas,Jackson County,17027
5069,22306,187883,34.26767081,-91.92619839, Arkansas,Jefferson County,69282
5071,8183,48645,35.56759135,-93.46036368, Arkansas,Johnson County,26372
5073,1502,16482,33.24116713,-93.60677071, Arkansas,Lafayette County,6800
5075,6501,50183,36.04188196,-91.10867198, Arkansas,Lawrence County,16549
5077,3331,39758,34.78498904,-90.78383866, Arkansas,Lee County,9194
5079,5494,46274,33.95317155,-91.74002806, Arkansas,Lincoln County,13455
5081,3881,60168,33.70375665,-94.23468591, Arkansas,Little River County,12347
5083,6059,39953,35.21413234,-93.71951016, Arkansas,Logan County,21668
5085,23914,145092,34.75392199,-91.88742357, Arkansas,Lonoke County,72528
5087,4842,33867,36.01038185,-93.72524943, Arkansas,Madison County,16211
5089,4083,47989,36.26844485,-92.68451899, Arkansas,Marion County,16476
5091,11599,90938,33.31403423,-93.89285258, Arkansas,Miller County,43572
5093,16349,129718,35.76271485,-90.0519437, Arkansas,Mississippi County,42126
5095,2309,20055,34.6815935,-91.20540287, Arkansas,Monroe County,7050
5097,1769,35416,34.53704874,-93.65824478, Arkansas,Montgomery County,8950
5099,2764,29268,33.66340119,-93.30632432, Arkansas,Nevada County,8351
5101,2041,31594,35.91947491,-93.21612969, Arkansas,Newton County,7812
5103,6753,65369,33.58839816,-92.87795984, Arkansas,Ouachita County,23830
5105,3005,18863,34.9459153,-92.94372564, Arkansas,Perry County,10355
5107,5875,57264,34.43268455,-90.84800154, Arkansas,Phillips County,18606
5109,2957,26342,34.16250414,-93.65789349, Arkansas,Pike County,10756
5111,10060,81968,35.57433534,-90.66268713, Arkansas,Poinsett County,23896
5113,4639,86181,34.48254879,-94.22728802, Arkansas,Polk County,20094
5115,20939,126427,35.44871474,-93.03212219, Arkansas,Pope County,63761
5117,2413,24941,34.83624419,-91.55162157, Arkansas,Prairie County,8189
5119,127532,739440,34.77054088,-92.31355101, Arkansas,Pulaski County,392967
5121,6418,55475,36.3415714,-91.02455531, Arkansas,Randolph County,17695
5123,8551,54645,35.02201976,-90.74828138, Arkansas,St. Francis County,25900
5125,36987,202120,34.64916145,-92.67583224, Arkansas,Saline County,119415
5127,2845,23225,34.85588887,-94.0632176, Arkansas,Scott County,10376
5129,2547,24909,35.9109364,-92.69936482, Arkansas,Searcy County,7908
5131,39253,317211,35.19605503,-94.27162713, Arkansas,Sebastian County,127591
5133,7110,42857,33.99780401,-94.2424869, Arkansas,Sevier County,17081
5135,5699,61438,36.16258158,-91.47819342, Arkansas,Sharp County,17139
5137,3690,39730,35.86251946,-92.15684085, Arkansas,Stone County,12475
5139,11257,117205,33.16887091,-92.59746952, Arkansas,Union County,39449
5141,4332,33464,35.58095779,-92.51295036, Arkansas,Van Buren County,16642
5143,80618,396327,35.976844,-94.21800746, Arkansas,Washington County,232289
5145,27037,166350,35.25688493,-91.74908296, Arkansas,White County,78762
5147,2268,16921,35.18902527,-91.2439489, Arkansas,Woodruff County,6533
5149,7590,69661,35.00292371,-93.41171338, Arkansas,Yell County,21464
6001,399660,1224171,37.64629437,-121.8929271, California,Alameda County,1656754
6003,143,0,38.59678594,-119.8223594, California,Alpine County,1039
6005,11506,52814,38.44583082,-120.65696, California,Amador County,38429
