,FIPS_CLEANED,FIPS,Cases,Deaths,Lat,Long,State,County,POPUNI,Total_Population,Zero_RF,One-Two_RF,Three_RF,Housing_Units,Hispanic_Pop,White_Pop,Black_Pop,Native_Pop,Asian_Pop,Pacific_Islander_Pop,Other_race_Pop,Bi_Tri_Racial_Pop,Male_Pop,Female_Pop,Veteran,Gini_Ind_Income,Rural_Pop,Median_Age_Pop,Age_65+_Pop,Disability_Pop,Below_Poverty_Level,Single_Mothers_Pop,Single_Fathers_Pop,1.51_plus_family_homes,HighSchool_Grad,Multilingual_5yrs_Plus,Full_time_workers,No_Health_Insur,Internet_homes,No_Vehicle,Homeowner_Vacancy,Rental_Vacancy
0,01001,1001,19732,126307,32.53952745,-86.64408227, Alabama,Autauga County,55688,55380,20573,22750,12365,23493,1559,41543,10580,167,556,0,111,1169,27064,28623,7016,252,23388,21272,8353,10580,8464,3007,723,111,49283,779,29291,3953,44884,2450,779,1726
1,01003,1003,69641,401530,30.72774991,-87.72207058, Alabama,Baldwin County,221898,212830,78622,90552,52724,114164,10207,184397,20414,1553,1997,0,443,3328,107842,114055,26183,1017,93818,95416,44379,31509,23077,8654,2218,887,201483,3994,112058,19748,181512,7322,7322,96747
2,01005,1005,7451,60678,31.868263,-85.3871286, Alabama,Barbour County,22023,25361,5024,9171,7828,12013,969,10086,10438,66,110,0,88,264,11650,10372,1453,107,14929,8897,4096,4712,6761,2070,220,132,16120,572,8170,2488,13323,2246,836,1629
3,01007,1007,8067,66517,32.99642064,-87.1251146, Alabama,Bibb County,20393,22493,6280,8986,5127,9185,530,15192,4506,20,20,0,0,101,11012,9380,1631,91,13938,8340,3242,3507,3691,897,346,163,16130,265,8096,2182,14111,1264,305,1142
4,01009,1009,18616,146177,33.98210918,-86.56790593, Alabama,Blount County,57697,57681,18189,23950,15558,24323,5365,50138,865,57,230,0,230,865,28502,29194,4442,263,51898,23482,10327,8135,7846,2250,1038,115,46446,1961,27463,6231,42118,2365,403,4846
5,01011,1011,3020,37221,32.10030533,-85.71265535, Alabama,Bullock County,8600,10248,2074,3534,2992,4557,223,1840,6432,0,43,0,0,68,4678,3921,283,40,4417,3457,1376,1032,2485,997,731,0,6424,86,4274,980,5168,920,17,60
6,01013,1013,6518,82395,31.75300095,-86.68057478, Alabama,Butler County,19410,19828,5431,7643,6336,10089,271,10015,8734,19,58,0,0,310,8889,10520,1281,89,13825,7919,3823,3202,4367,1339,116,116,16498,77,9200,1688,12538,1455,718,4503
7,01015,1015,41228,372868,33.77483727,-85.82630386, Alabama,Calhoun County,111694,114618,35169,44189,32336,53631,4244,80531,23120,223,1005,0,223,2457,53724,57969,12062,517,37640,44230,19211,23679,19993,7260,781,446,94269,1675,51267,10610,83882,6701,2345,6254
8,01017,1017,10812,114178,32.91360079,-85.39072749, Alabama,Chambers County,33117,33660,9457,12798,10862,16988,794,18379,13114,99,364,0,33,331,15829,17287,2616,140,16277,13909,6358,5994,5729,1755,397,1192,27023,430,16889,3411,22983,2417,894,3079
9,01019,1019,6732,51229,34.17805983,-85.60638968, Alabama,Cherokee County,26116,25903,7374,11044,7698,16579,417,23948,1201,287,52,0,0,208,12875,13240,2376,117,22391,12143,5849,4648,3630,652,235,130,21310,182,12718,2245,18464,1175,861,3577
10,01021,1021,12956,125173,32.85044126,-86.7173256, Alabama,Chilton County,44257,44055,12461,20344,11452,19781,3452,35449,4071,44,177,0,44,973,21553,22703,3363,208,38388,17127,7081,8585,8453,2876,442,309,36202,1416,19959,5753,30404,2212,1283,3097
11,01023,1023,2255,25625,32.02227341,-88.2656443, Alabama,Choctaw County,12553,12925,2830,5421,4302,7359,50,7079,5347,12,12,0,12,50,5962,6590,1079,58,12553,5812,2836,3351,2924,815,50,25,10218,50,4632,1292,7694,1154,75,188
